month,popularity
2017-01,3
2017-02,3
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,4
2017-08,5
2017-09,5
2017-10,6
2017-11,7
2017-12,6
2018-01,6
2018-02,7
2018-03,8
2018-04,8
2018-05,9
2018-06,8
2018-07,9
2018-08,9
2018-09,9
2018-10,9
2018-11,11
2018-12,10
2019-01,11
2019-02,10
2019-03,11
2019-04,10
2019-05,11
2019-06,12
2019-07,12
2019-08,11
2019-09,10
2019-10,10
2019-11,10
2019-12,10
2020-01,10
2020-02,10
2020-03,10
2020-04,11
2020-05,11
2020-06,10
2020-07,10
2020-08,9
2020-09,10
2020-10,9
2020-11,10
2020-12,10
2021-01,9
2021-02,11
2021-03,11
2021-04,10
2021-05,10
2021-06,10
2021-07,10
2021-08,10
2021-09,11
2021-10,12
2021-11,13
2021-12,13
2022-01,14
2022-02,14
2022-03,16
2022-04,16
2022-05,15
2022-06,16
2022-07,17
2022-08,18
2022-09,20
2022-10,21
2022-11,23
2022-12,34
2023-01,36
2023-02,47
2023-03,50
2023-04,66
2023-05,76
2023-06,74
2023-07,77
2023-08,72
2023-09,73
2023-10,87
2023-11,87
2023-12,86
2024-01,89
2024-02,100
2024-03,98
2024-04,95
